,owner,value,date
0,0xf977814e90da44bfa03b6295a0616a897441acec,100000000.0,2014-12-22
1,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0.0,2014-12-22
2,0x28c6c06298d514db089934071355e5743bf21d60,24428662.165444724,2014-12-22
3,0x34ea4138580435b5a521e460035edb19df1938c1,184435.4419080029,2014-12-22
4,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,0.0,2014-12-22
5,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0.0,2014-12-22
6,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,7064865.2613582,2014-12-22
7,0x9696f59e4d72e237be84ffd425dcad154bf96976,0.0,2014-12-22
8,0x06a0048079ec6571cd1b537418869cde6191d42d,0.0,2014-12-22
9,0x21a31ee1afc51d94c2efccaa2092ad1028285549,3696811.8599441284,2014-12-22
10,0xf60c2ea62edbfe808163751dd0d8693dcb30019c,441037.1634952326,2014-12-22
11,0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,2292409.0,2014-12-22
12,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,5.0,2014-12-22
13,0x2910543af39aba0cd09dbb2d50200b3e800a63d2,0.0,2014-12-22
14,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,99.089808959817,2014-12-22
15,0x3cd751e6b0078be393132286c442345e5dc49699,22.011972154686305,2014-12-22
16,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,0.008570373932622586,2014-12-22
17,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,0.00733903,2014-12-22
18,0x503828976d22510aad0201ac7ec88293211d23da,520.3963633257614,2014-12-22
19,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,0.000178462494564059,2014-12-22
20,0xd6216fc19db775df9774a6e33526131da7d19a2c,3696795.0,2014-12-22
21,0xd89350284c7732163765b23338f2ff27449e0bf5,0.0,2014-12-22
22,0xcad621da75a66c7a8f4ff86d30a2bf981bfc8fdd,0.0,2014-12-22
23,0x1692e170361cefd1eb7240ec13d048fd9af6d667,0.0,2014-12-22
24,0xa7efae728d2936e78bda97dc267687568dd593f3,0.0,2014-12-22
25,0x98ec059dc3adfbdd63429454aeb0c990fba4a128,0.0,2014-12-22
26,0x2c8fbb630289363ac80705a1a61273f76fd5a161,3288685.99609905,2014-12-22
27,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,4701377.830124828,2014-12-22
28,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,0.0,2014-12-22
29,0xd69b0089d9ca950640f5dc9931a41a5965f00303,0.0,2014-12-22
30,0xd24400ae8bfebb18ca49be86258a3c749cf46853,0.0,2014-12-22
31,0x742d35cc6634c0532925a3b844bc454e4438f44e,0.0,2014-12-22
32,0x59448fe20378357f206880c58068f095ae63d5a5,0.0,2014-12-22
33,0x36a85757645e8e8aec062a1dee289c7d615901ca,0.0,2014-12-22
34,0x1b8766d041567eed306940c587e21c06ab968663,0.0,2014-12-22
35,0x5a710a3cdf2af218740384c52a10852d8870626a,0.0,2014-12-22
36,0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,0.0,2014-12-22
37,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,0.0,2014-12-22
38,0x28140cb1ac771d4add91ee23788e50249c10263d,0.0,2014-12-22
39,0xc56fefd1028b0534bfadcdb580d3519b5586246e,0.0,2014-12-22
40,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0.0,2014-12-22
41,0x0b73f67a49273fc4b9a65dbd25d7d0918e734e63,0.0,2014-12-22
42,0x3f7e77b627676763997344a1ad71acb765fc8ac5,0.0,2014-12-22
43,0x53b36141490c419fa27ecabfeb8be1ecadc82431,0.0,2014-12-22
44,0x0cd76cd43992c665fdc2d8ac91b935ca3165e782,0.0,2014-12-22
45,0x0a98fb70939162725ae66e626fe4b52cff62c2e5,0.0,2014-12-22
46,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,0.0,2014-12-22
47,0xcac725bef4f114f728cbcfd744a731c2a463c3fc,0.0,2014-12-22
48,0xb4cd0386d2db86f30c1a11c2b8c4f4185c1dade9,0.0,2014-12-22
49,0x558553d54183a8542f7832742e7b4ba9c33aa1e6,0.0,2014-12-22
50,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,435349.91392573,2014-12-22
51,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,0.0,2014-12-22
52,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0.0,2014-12-22
53,0x3e40d73eb977dc6a537af587d48316fee66e9c8c,20992258.854464,2014-12-22
54,0x1522900b6dafac587d499a862861c0869be6e428,182437.63128817547,2014-12-22
55,0xa910f92acdaf488fa6ef02174fb86208ad7722ba,208399.9104443495,2014-12-22
56,0x46340b20830761efd32832a74d7169b29feb9758,6241967.136232443,2014-12-22
57,0xeea81c4416d71cef071224611359f6f99a4c4294,864293.5506646167,2014-12-22
58,0xfb8131c260749c7835a08ccbdb64728de432858e,257310.62335713406,2014-12-22
59,0x000000000000000000000000000000000000dead,7666.930233070725,2014-12-22
60,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,162.306008145662,2014-12-22
61,0x0000000000000000000000000000000000000000,8925.753589358457,2014-12-22
62,0x78605df79524164911c144801f41e9811b7db73d,0.0,2014-12-22
63,0x9bdb521a97e95177bf252c253e256a60c3e14447,0.0,2014-12-22
64,0x6dd5a9f47cfbc44c04a0a4452f0ba792ebfbcc9a,996265.2723487655,2014-12-22
65,0x4f6742badb049791cd9a37ea913f2bac38d01279,8094.649902830295,2014-12-22
66,0xd1669ac6044269b59fa12c5822439f609ca54f41,145599.63409315838,2014-12-22
67,0xc9f5296eb3ac266c94568d790b6e91eba7d76a11,17857.049157326735,2014-12-22
68,0xc9f5296eb3ac266c94568d790b6e91eba7d76a11,17857.049157326735,2014-12-22
69,0x4b1a99467a284cc690e3237bc69105956816f762,0.0,2014-12-22
70,0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,242667.21243012458,2014-12-22
71,0x500a746c9a44f68fe6aa86a92e7b3af4f322ae66,62642.39359074275,2014-12-22
72,0xde21f729137c5af1b01d73af1dc21effa2b8a0d6,570169.4052264999,2014-12-22
73,0x2a549b4af9ec39b03142da6dc32221fc390b5533,3.0779567383534627,2014-12-22
74,0x3ddfa8ec3052539b6c9549f12cea2c295cff5296,0.0,2014-12-22
75,0xae2d4617c862309a3d75a0ffb358c7a5009c673f,0.0,2014-12-22
76,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,3606283.5711110723,2014-12-22
77,0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,14350000.0,2014-12-22
78,0x5041ed759dd4afc3a72b8192c143f72f4724081a,0.0,2014-12-22
79,0x6262998ced04146fa42253a5c0af90ca02dfd2a3,152158.92746391287,2014-12-22
80,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,199319.84463936623,2014-12-22
81,0x5c985e89dde482efe97ea9f1950ad149eb73829b,0.0,2014-12-22
82,0x5f65f7b609678448494de4c87521cdf6cef1e932,4916994.280067074,2014-12-22
83,0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea,275569.95041771885,2014-12-22
84,0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,412817.8709775669,2014-12-22
85,0x8d1f2ebfaccf1136db76fdd1b86f1dede2d23852,1.404472328286e-06,2014-12-22
86,0x66c57bf505a85a74609d2c83e94aabb26d691e1f,10449346.438488891,2014-12-22
87,0xe93381fb4c4f14bda253907b18fad305d799241a,1489450.1476709142,2014-12-22
88,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,0.0,2014-12-22
89,0x5754284f345afc66a98fbb0a0afe71e0f007b949,0.0,2014-12-22
90,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,0.0,2014-12-22
91,0xfdb16996831753d5331ff813c29a93c76834a0ad,0.0,2014-12-22
92,0x66f820a414680b5bcda5eeca5dea238543f42054,0.0,2014-12-22
93,0x1062a747393198f70f71ec65a582423dba7e5ab3,0.0,2014-12-22
94,0xec30d02f10353f8efc9601371f56e808751f396f,0.0,2014-12-22
95,0x46705dfff24256421a05d056c29e81bdc09723b8,0.0,2014-12-22
96,0x88bd4d3e2997371bceefe8d9386c6b5b4de60346,0.0,2014-12-22
97,0xeee28d484628d41a82d01e21d12e2e78d69920da,0.0,2014-12-22
98,0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,2.0,2014-12-22
99,0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,0.0,2014-12-22
100,0x0bc3807ec262cb779b38d65b38158acc3bfede10,0.0,2014-12-22
101,0xfb633f47a84a1450ee0413f2c32dc1772ccaea3e,20031219.749548864,2014-12-22
102,0x860a80d33e85e97888f1f0c75c6e5bbd60b48da9,0.0,2014-12-22
103,0x9a67f1940164d0318612b497e8e6038f902a00a4,11749469.790269688,2014-12-22
104,0x1cf0df2a5a20cd61d68d4489eebbf85b8d39e18a,510219.43891435006,2014-12-22
105,0x8b4334d4812c530574bd4f2763fcd22de94a969b,0.0,2014-12-22
106,0x56fcb471a9dde74045830439ad6612c9aad53c19,0.0,2014-12-22
107,0xf894fea045eccb2927e2e0cb15c12debee9f2be8,24999.999999999996,2014-12-22
108,0x556ecbb0311d350491ba0ec7e019c354d7723ce0,0.0,2014-12-22
109,0xf7f52dd34bc21eda08c0b804c7c1dbc48375820f,0.0,2014-12-22
110,0xdff2aea378e41632e45306a6de26a7e0fd93ab07,0.0,2014-12-22
111,0xcf2d2da4c2f9b0675a197febc6708704834f9c24,0.0,2014-12-22
112,0x99f4176ee457afedffcb1839c7ab7a030a5e4a92,194155.66388772766,2014-12-22
113,0xfb76e9be55758d0042e003c1e46e186360f0627e,18656227.36050726,2014-12-22
114,0xce4a1e86a5c47cd677338f53da22a91d85cab2c9,1343180.77,2014-12-22
115,0xd0a7a8b98957b9cd3cfb9c0425abe44551158e9e,1077112.5381228013,2014-12-22
116,0x31f8cc382c9898b273eff4e0b7626a6987c846e8,987056.665661758,2014-12-22
