rank,address,etherscan_tag,protocol,category,location
1,0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,Binance,cex,cefi
2,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7,Binance,cex,cefi
3,0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,Binance,cex,cefi
4,0x34ea4138580435b5a521e460035edb19df1938c1,Binance US 2,Binance,cex,cefi
5,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,Binance 20,Binance,cex,cefi
6,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,Binance 17,Binance,cex,cefi
7,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance 16,Binance,cex,cefi
8,0x9696f59e4d72e237be84ffd425dcad154bf96976,Binance 18,Binance,cex,cefi
9,0x06a0048079ec6571cd1b537418869cde6191d42d,Binance 29,Binance,cex,cefi
10,0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance 15,Binance,cex,cefi
11,0xf60c2ea62edbfe808163751dd0d8693dcb30019c,Binance US 3,Binance,cex,cefi
12,0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,Kraken 13,Kraken,cex,cefi
13,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken 4,Kraken,cex,cefi
14,0x2910543af39aba0cd09dbb2d50200b3e800a63d2,Kraken,Kraken,cex,cefi
15,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Coinbase 5,Coinbase,cex,cefi
16,0x3cd751e6b0078be393132286c442345e5dc49699,Coinbase 4,Coinbase,cex,cefi
17,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Coinbase 3,Coinbase,cex,cefi
18,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,Coinbase 6,Coinbase,cex,cefi
19,0x503828976d22510aad0201ac7ec88293211d23da,Coinbase 2,Coinbase,cex,cefi
20,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Coinbase 1,Coinbase,cex,cefi
21,0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,KuCoin,cex,cefi
22,0xd89350284c7732163765b23338f2ff27449e0bf5,KuCoin 13,KuCoin,cex,cefi
23,0xcad621da75a66c7a8f4ff86d30a2bf981bfc8fdd,KuCoin 10,KuCoin,cex,cefi
24,0x1692e170361cefd1eb7240ec13d048fd9af6d667,KuCoin 5,KuCoin,cex,cefi
